total variable:0
total variable:0
total variable:142 12683392
total variable:143 12750160
total variable:144 12750515
total variable:145 12750642
total variable:146 12619850
total variable:147 12620006
total variable:148 12620352
total variable:149 12621296
total variable:150 12621655
total variable:151 12621782
total variable:152 12622041
total variable:153 12623061
total variable:154 12750910
total variable:155 16139586
total variable:156 12751485
total variable:157 12751593
total variable:158 12751765
total variable:159 12751902
total variable:160 12752036
total variable:161 12684023
total variable:162 16502583
total variable:163 16215958
total variable:164 16216161
total variable:165 16523038
total variable:166 16523594
total variable:167 16199923
total variable:168 16524100
total variable:169 16524274
total variable:170 16504878
total variable:171 16571394
total variable:172 16571888
total variable:173 16525359
total variable:174 16525517
total variable:175 16526055
total variable:176 16526348
total variable:177 16526778
total variable:178 16505747
total variable:179 16505994
total variable:180 16507455
total variable:181 16528189
total variable:182 16386985
total variable:183 16528371
total variable:184 16528528
total variable:185 16302469
total variable:186 16302666
total variable:187 16302984
total variable:188 16303128
total variable:189 16303358
total variable:190 16304152
total variable:191 16388183
total variable:192 16388557
total variable:193 16389695
total variable:194 16390093
total variable:195 16390213
total variable:196 16390340
total variable:197 16390528
total variable:198 16390673
total variable:199 16408268
total variable:200 16391707
total variable:201 16430220
total variable:202 16391521
total variable:203 16395680
total variable:204 16528977
total variable:205 16529301
total variable:206 16374484
total variable:207 16374626
total variable:208 16401401
total variable:209 16401584
total variable:210 16403334
total variable:211 16404675
total variable:212 16406256
total variable:213 16407475
total variable:214 16374993
total variable:215 16375178
total variable:216 16375333
total variable:217 16529571
total variable:218 16529735
total variable:219 16529923
total variable:220 16530099
total variable:221 16530578
total variable:222 16530741
total variable:223 16509083
total variable:224 16515950
total variable:225 16516448
total variable:226 16516600
total variable:227 16539026
total variable:228 16539237
total variable:229 16539504
total variable:230 16542206
total variable:231 16516869
total variable:232 16562832
total variable:233 16574519
total variable:234 16574902
total variable:235 16569732
total variable:236 16570109
total variable:237 16293874
total variable:238 16294019
total variable:239 16517785
total variable:240 16518150
total variable:241 16238951
total variable:242 16240240
total variable:243 16240539
total variable:244 16240763
total variable:245 16241146
total variable:246 16243911
total variable:247 16255591
total variable:248 16255830
total variable:249 16257081
total variable:250 16257373
total variable:251 16135390
total variable:252 16135654
total variable:253 16101002
total variable:254 16101729
total variable:255 16088730
total variable:256 16119275
total variable:257 16258975
total variable:258 8283798
total variable:259 8285569
total variable:260 8287997
total variable:261 8285752
total variable:262 8286288
total variable:263 16078357
total variable:264 16078591
total variable:265 16079260
total variable:266 16079447
total variable:267 16079657
total variable:268 8284490
total variable:269 8284695
total variable:270 1252706
total variable:271 1253293
total variable:272 1253734
total variable:273 1254143
total variable:274 16130927
total variable:275 16131101
total variable:276 16131242
total variable:277 16131357
total variable:278 16129268
total variable:279 16129401
total variable:280 16129509
total variable:281 16126537
total variable:282 16126656
total variable:283 16126803
total variable:284 16126951
total variable:285 16127070
total variable:286 16127213
total variable:287 16127395
total variable:288 16127866
total variable:289 8226649
total variable:290 8226768
total variable:291 8279495
total variable:292 8227138
total variable:293 8227252
total variable:294 8280560
total variable:295 8281933
total variable:296 8282283
total variable:297 1256969
total variable:298 1257372
total variable:299 16068752
total variable:300 16068883
total variable:301 16069315
total variable:302 16069499
total variable:303 16069938
total variable:304 16285493
total variable:305 16286170
total variable:306 16287799
total variable:307 16288636
total variable:308 16301275
total variable:309 16301445
total variable:310 16297363
total variable:311 16298453
total variable:312 16325739
total variable:313 16298999
total variable:314 16299167
total variable:315 16299318
total variable:316 16299497
total variable:317 16326538
total variable:318 16326767
total variable:319 16326980
total variable:320 16075982
total variable:321 16076096
total variable:322 16076263
total variable:323 16327134
total variable:324 16327285
total variable:325 16327400
total variable:326 16299687
total variable:327 16335248
total variable:328 16335609
total variable:329 16335782
total variable:330 16336067
total variable:331 16336245
total variable:332 16336389
total variable:333 16336527
total variable:334 16336732
total variable:335 16376197
total variable:336 16376348
total variable:337 16337168
total variable:338 16337454
total variable:339 16337606
total variable:340 16385832
total variable:341 16385940
total variable:342 16074361
total variable:343 16074499
total variable:344 16074650
total variable:345 16074867
total variable:346 16075254
total variable:347 16386111
total variable:348 16386256
total variable:349 16328021
total variable:350 16432758
total variable:351 16433685
total variable:352 16434240
total variable:353 16434374
total variable:354 16453630
total variable:355 16453831
total variable:356 16454079
total variable:357 16342967
total variable:358 16343455
total variable:359 16343586
total variable:360 16437162
total variable:361 16356956
total variable:362 16446750
total variable:363 16449336
total variable:364 16470523
total variable:365 16449780
total variable:366 16450005
total variable:367 16450218
total variable:368 16451136
total variable:369 16472707
total variable:370 16472822
total variable:371 16475043
total variable:372 16476262
total variable:373 16346572
total variable:374 16346743
total variable:375 16346944
total variable:376 16438467
total variable:377 16438646
total variable:378 16456426
total variable:379 16456572
total variable:380 16439372
total variable:381 16462897
total variable:382 16439593
total variable:383 16438757
total variable:384 16438900
total variable:385 16458851
total variable:386 16459016
total variable:387 16459146
total variable:388 16459255
total variable:389 16459432
total variable:390 16459789
total variable:391 16459977
total variable:392 16329295
total variable:393 16332498
total variable:394 16333362
total variable:395 16333503
total variable:396 16091639
total variable:397 16091766
total variable:398 16093734
total variable:399 16091066
total variable:400 16333679
total variable:401 16332639
total variable:402 16334146
total variable:403 16092074
total variable:404 16092756
total variable:405 16332925
total variable:406 16334458
total variable:407 16329503
total variable:408 16461049
total variable:409 16461529
total variable:410 16446900
total variable:411 16331597
total variable:412 16331713
total variable:413 16331839
total variable:414 16331930
total variable:415 16332155
total variable:416 16346117
total variable:417 16346267
total variable:418 16355022
total variable:419 16355196
total variable:420 16372215
total variable:421 16362685
total variable:422 16328204
total variable:423 16328350
total variable:424 16291263
total variable:425 12729630
total variable:426 12729801
total variable:427 12729997
total variable:428 12730196
total variable:429 15675168
total variable:430 16291552
total variable:431 16291867
total variable:432 16292474
total variable:433 16292938
total variable:434 16179102
total variable:435 16179303
total variable:436 16179574
total variable:437 16179716
total variable:438 16179809
total variable:439 16180104
total variable:440 16070662
total variable:441 16105015
total variable:442 16105498
total variable:443 16105648
total variable:444 16106275
totatotal variable:455
total variable:455
l variable:445 16071192
total variable:446 16072007
total variable:447 16072168
total variable:448 16357632
total variable:449 16105141
total variable:450 16575847
total variable:451 16167110
total variable:452 16167389
total variable:453 16167543
total variable:454 16167908
total variable:455 16263331
